Initiator,Receiver
0,2
1,2
1,4
1,2
2,6
1,0
1,0
1,6
1,2
1,6
1,3
1,0
1,3
1,2
1,2
1,3
1,0
1,3
2,3
1,4
2,3
2,3
1,6
1,4
1,3
1,2
1,3
2,3
0,3
1,2
1,4
1,0
1,4
1,2
3,6
1,4
1,2
1,0
1,3
1,3
0,3
1,0
1,3
1,0
0,2
1,0
1,3
1,0
1,2
2,3
1,0
2,0
1,4
2,6
1,3
1,3
1,0
1,0
1,3
1,6
1,2
2,6
1,0
1,2
1,0
1,0
0,1
1,4
1,3
1,2
2,4
4,1
1,0
1,3
1,0
1,2
1,4
1,6
1,0
1,3
2,1
3,4
1,3
1,2
1,2
1,3
1,3
3,4
1,6
1,2
3,4
1,3
3,6
2,6
2,3
1,4
1,2
1,3
3,2
3,4
2,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,6
1,3
1,2
1,2
2,3
1,4
1,2
1,4
5,1
5,6
3,1
1,3
5,3
1,6
1,5
1,0
1,0
1,0
1,6
1,2
5,2
5,0
1,6
1,0
1,2
1,6
0,6
5,2
5,0
5,2
1,2
1,6
1,0
5,1
1,0
1,0
1,6
1,0
1,2
2,5
1,0
1,0
1,2
1,2
1,6
1,4
1,2
1,2
1,2
1,0
1,0
5,6
2,7
1,7
1,6
0,7
1,0
1,7
6,7
1,2
5,7
0,6
1,6
1,2
0,7
2,7
7,4
2,7
1,0
1,4
1,2
5,7
2,7
4,7
5,7
1,4
2,7
0,7
2,0
5,7
1,0
0,7
5,0
2,7
5,6
0,7
1,7
5,0
5,1
5,6
5,2
5,7
1,0
1,2
5,0
1,2
1,7
6,7
1,6
1,0
1,2
1,0
1,2
1,6
5,6
1,0
5,7
2,7
7,6
6,7
5,2
6,7
6,7
2,7
2,7
2,9
5,7
2,7
2,6
5,7
2,7
5,7
5,9
2,9
0,7
5,9
2,9
5,6
6,9
5,9
5,6
6,9
2,9
2,9
6,9
6,7
5,7
5,9
5,7
2,7
6,9
5,9
2,9
5,0
0,7
5,7
5,6
5,9
7,9
5,7
5,9
5,7
5,9
5,0
5,6
5,7
6,7
5,2
5,9
5,0
0,5
5,7
0,2
5,7
5,9
5,7
5,9
5,0
5,6
5,2
5,9
5,0
5,6
5,2
5,9
2,9
5,0
6,0
5,2
6,2
5,9
5,0
5,6
2,7
5,9
5,6
5,7
5,2
5,7
5,2
2,7
5,9
5,2
5,9
5,0
5,6
5,7
5,2
5,7
2,7
0,9
2,9
2,0
0,7
5,9
5,0
5,6
5,7
5,2
5,9
2,9
5,2
6,7
5,9
5,0
5,6
2,9
5,6
0,9
5,9
5,0
5,6
0,7
5,7
5,2
6,7
2,7
5,9
5,6
5,7
5,2
5,9
5,9
5,9
5,9
5,8
5,9
5,7
2,7
5,2
5,9
5,8
5,8
2,0
2,7
5,8
5,9
5,8
5,9
5,8
5,8
5,9
8,0
5,8
5,0
5,6
2,7
5,2
5,8
2,8
5,0
2,0
5,7
5,9
5,8
5,0
5,6
5,2
5,9
5,7
5,6
5,2
5,0
2,0
5,7
0,2
5,2
5,8
5,8
5,0
5,9
2,7
0,9
5,9
5,0
5,6
5,7
5,2
2,9
5,8
5,7
6,7
2,7
5,8
5,7
2,7
5,9
5,8
5,7
5,8
2,8
0,9
5,6
2,7
7,2
2,8
2,7
5,0
5,9
9,7
5,9
5,0
5,2
5,2
7,8
9,8
5,8
2,8
5,2
2,8
6,7
2,9
5,8
2,8
2,6
2,8
2,7
2,8
5,7
5,2
5,9
6,8
5,0
5,2
5,9
5,8
5,7
5,2
5,9
5,0
5,7
2,7
6,9
5,9
5,8
5,8
5,9
5,9
5,0
5,6
5,9
5,2
5,9
5,8
5,6
0,7
5,7
5,2
5,9
5,8
5,0
5,6
5,2
5,9
5,8
5,7
5,2
5,7
5,9
9,8
5,8
5,8
5,6
5,0
5,2
5,0
5,2
6,8
6,0
2,5
5,2
5,8
5,10
5,0
5,0
2,10
5,9
5,10
5,10
2,10
5,9
5,0
5,2
5,8
0,10
5,8
5,7
5,0
5,10
6,8
5,9
5,2
5,9
5,7
5,9
5,0
5,8
5,6
5,8
5,6
5,7
5,9
9,8
2,8
5,10
2,10
5,9
6,7
5,2
5,9
2,9
5,7
5,8
5,10
5,2
5,7
5,2
2,7
5,9
2,9
5,8
5,0
5,10
5,6
5,7
5,2
5,8
