Initiator,Receiver
0,2
1,7
0,2
2,7
1,8
1,7
0,1
2,8
2,10
1,10
1,2
2,8
1,10
1,8
1,8
1,8
1,8
1,7
1,8
0,7
1,7
1,8
1,8
0,8
1,7
1,8
1,7
1,8
1,7
0,8
0,7
1,8
1,7
0,8
3,8
1,8
3,8
2,7
1,5
4,7
2,8
1,8
4,7
1,7
5,8
2,7
1,8
6,7
0,7
2,8
1,7
1,8
1,8
1,7
6,10
1,8
1,7
2,4
1,8
6,7
0,3
7,8
6,7
1,7
5,6
2,7
7,6
8,6
8,7
6,8
8,7
2,10
8,7
5,3
7,8
1,8
1,6
8,7
8,7
2,9
3,7
6,7
1,5
5,8
1,7
5,7
6,7
0,9
1,7
6,5
3,13
1,8
9,13
1,9
6,7
6,3
1,2
1,5
10,6
8,5
6,8
6,5
1,2
1,8
4,9
5,4
3,7
5,10
1,2
6,13
1,3
4,0
4,5
5,9
0,9
3,10
1,13
5,13
1,13
1,7
4,13
4,9
5,9
6,9
0,12
4,9
5,9
7,13
5,13
6,7
6,9
5,13
7,1
6,10
4,7
1,7
10,6
0,12
4,13
6,7
5,9
3,9
1,0
5,12
5,7
1,7
1,9
4,9
4,5
1,8
6,13
1,13
1,7
1,7
1,9
3,11
6,12
6,9
1,2
1,7
7,9
1,7
1,6
1,7
4,12
6,12
5,6
4,6
6,13
10,6
3,6
3,13
6,13
4,13
3,13
5,13
6,13
4,13
3,13
3,13
1,9
6,12
6,5
10,6
12,3
12,3
5,3
13,3
12,3
4,6
4,0
4,9
0,9
1,3
6,13
6,4
6,9
9,3
6,12
6,11
5,11
4,13
6,14
4,12
0,12
5,3
1,3
1,11
6,7
4,3
10,7
14,7
12,7
14,7
6,12
14,7
3,9
6,12
3,13
4,7
14,13
1,13
4,1
14,11
1,14
1,6
1,3
3,6
3,12
1,3
1,11
1,12
1,7
6,12
6,13
11,6
3,7
1,11
4,0
1,14
1,9
14,13
1,14
1,3
1,14
14,6
6,14
6,11
1,0
7,3
1,7
14,5
15,7
15,7
1,14
3,12
0,3
4,7
1,0
1,3
1,3
6,3
14,11
0,1
1,11
1,3
12,0
4,15
3,12
5,13
12,3
4,3
7,11
7,11
1,7
15,2
3,13
1,7
1,9
0,11
3,11
3,13
1,12
1,7
3,11
5,7
1,5
6,12
1,7
1,14
1,14
1,9
5,9
1,12
1,7
3,9
3,7
11,12
5,12
3,7
12,7
3,0
1,3
4,1
4,11
7,4
7,0
14,7
14,0
5,14
0,5
14,5
7,11
1,5
5,12
5,7
6,13
1,14
0,11
1,7
4,5
0,5
4,5
12,5
1,10
1,13
6,0
10,7
4,11
0,12
1,7
6,5
1,15
4,7
1,5
12,7
1,14
14,3
1,3
14,12
1,12
6,12
0,12
5,12
4,12
4,7
4,12
1,11
1,14
4,12
14,0
14,1
1,14
5,11
3,11
15,12
1,9
1,15
14,12
1,12
1,14
14,12
1,14
1,12
4,9
4,14
1,14
11,5
11,5
1,14
4,6
11,6
6,11
12,7
6,14
14,10
1,12
5,12
6,3
3,11
1,14
16,10
2,7
4,14
12,11
12,11
6,15
6,7
6,7
6,3
6,3
6,3
0,3
6,11
6,12
5,12
6,14
6,11
4,12
4,12
3,19
6,11
3,17
0,19
17,19
3,11
6,19
5,6
6,19
6,5
6,19
9,19
5,9
3,17
5,12
2,17
17,16
0,19
12,19
18,19
6,12
6,19
19,12
11,12
5,12
5,19
3,19
5,2
3,11
15,3
4,19
3,11
6,17
6,11
6,17
6,3
17,0
3,19
4,6
4,11
12,19
5,0
3,9
4,2
4,19
6,17
2,12
6,11
0,17
12,5
6,0
5,16
6,17
5,19
5,12
6,19
5,9
5,6
4,19
6,11
5,10
6,19
6,19
3,17
11,3
4,17
6,17
6,3
6,17
6,3
6,3
3,19
6,3
6,17
6,17
6,17
5,17
5,19
5,11
6,17
6,3
4,3
4,9
3,9
4,5
9,5
5,19
3,17
11,19
10,20
6,19
12,19
6,5
4,6
6,11
4,11
4,12
6,17
11,19
17,9
11,5
3,19
6,3
5,17
4,12
5,19
6,0
6,0
3,5
3,17
4,10
3,17
19,5
5,19
4,5
5,19
10,19
20,5
6,17
4,10
5,19
6,17
6,17
12,19
5,17
6,17
6,17
6,17
6,17
9,17
4,6
6,21
6,17
4,17
6,17
17,19
6,17
6,12
6,19
6,19
6,17
6,17
6,12
6,9
12,9
6,17
6,12
12,6
4,16
4,12
6,12
12,19
6,12
4,19
4,19
6,17
12,17
6,12
6,17
6,17
6,12
6,17
4,12
12,19
6,9
6,16
6,17
6,24
6,17
6,17
6,12
6,19
6,12
6,17
6,24
6,12
6,17
12,17
12,18
6,17
6,12
6,17
6,17
6,12
6,17
6,19
6,12
6,17
12,17
4,17
6,12
18,27
4,17
