Initiator,Receiver
0,1
1,3
2,10
1,3
2,3
2,10
2,3
1,3
3,10
1,3
1,2
2,3
2,3
2,0
1,2
1,3
1,2
1,3
2,4
1,10
4,10
4,1
4,2
1,3
1,10
4,2
2,3
3,10
4,10
3,10
4,2
4,10
4,0
2,10
1,10
0,1
0,1
4,0
4,0
3,10
0,3
0,1
3,10
3,10
1,10
1,10
3,10
1,3
3,10
2,3
1,4
1,3
2,1
3,10
2,10
5,0
3,9
4,9
2,1
2,10
4,0
4,3
2,1
4,3
3,10
4,9
2,0
2,3
2,5
2,1
4,1
2,9
1,0
3,10
4,9
3,10
5,10
1,3
3,10
2,5
1,9
2,3
2,3
2,5
6,9
1,3
2,1
2,1
6,1
4,0
4,9
4,10
2,3
7,1
2,1
2,1
6,9
7,1
7,3
6,1
2,1
7,3
4,3
4,5
4,6
1,6
2,1
1,10
6,10
8,3
9,3
8,1
2,10
4,3
4,10
4,9
7,1
2,10
2,0
4,3
2,0
4,2
2,10
7,2
7,6
3,0
6,10
4,5
2,0
8,0
6,0
2,3
7,8
4,2
7,8
7,8
7,6
6,2
8,3
6,0
1,3
8,3
8,1
8,3
8,1
7,3
7,3
7,1
8,3
5,1
7,1
5,1
4,2
7,1
7,5
7,6
4,2
7,6
7,2
6,8
6,8
4,3
7,2
7,0
7,5
5,1
4,1
7,8
7,3
7,6
7,1
7,8
7,1
7,1
7,1
4,0
4,6
4,6
7,4
2,3
7,2
2,10
5,6
4,1
7,2
2,8
7,8
2,1
2,1
7,6
7,8
7,2
7,3
7,6
2,3
6,0
7,3
2,10
4,5
7,2
8,3
2,8
6,8
7,5
7,8
7,5
7,2
7,1
1,3
1,10
4,6
2,3
2,3
7,2
7,5
4,2
6,3
7,2
7,1
7,3
1,10
1,8
7,0
7,3
7,10
8,3
1,3
7,3
7,5
6,3
4,1
7,1
6,1
6,1
6,1
7,3
6,1
4,5
6,10
6,1
7,1
7,3
7,2
6,1
7,3
7,1
7,5
7,6
7,5
7,6
7,3
6,10
7,5
2,0
7,2
4,10
2,1
7,1
4,2
7,5
7,10
7,1
1,3
4,0
4,8
1,3
0,10
8,3
7,4
7,5
4,1
4,5
4,5
1,0
4,0
7,1
7,0
7,1
7,5
7,6
6,0
7,2
4,5
7,1
5,2
5,0
7,5
4,1
7,5
7,10
7,0
7,5
7,2
7,10
1,3
4,2
7,3
5,3
1,0
5,1
4,0
6,1
6,1
3,10
4,0
7,0
7,10
4,0
6,10
6,10
7,1
7,1
7,3
7,1
7,1
4,1
6,3
7,6
7,5
7,1
6,5
5,1
4,1
5,1
5,6
5,3
5,1
4,5
4,3
4,1
7,0
7,0
6,1
4,10
4,1
6,3
0,1
4,1
0,1
4,6
4,1
4,6
4,0
4,3
7,0
5,6
7,0
7,5
5,1
7,5
7,1
7,5
7,3
5,0
4,6
4,1
4,10
4,6
7,3
6,1
6,1
5,3
6,3
7,10
7,1
4,6
4,1
4,6
4,1
6,3
5,6
7,6
4,1
0,1
7,5
5,3
4,3
5,3
5,10
7,1
7,0
4,1
4,1
6,3
7,6
6,1
6,1
7,10
4,1
4,6
4,10
5,1
4,10
4,10
4,5
4,5
4,0
7,0
5,10
7,5
7,0
7,5
4,6
4,5
7,1
4,3
6,4
4,6
4,5
4,3
4,0
1,0
4,0
6,10
7,6
6,3
4,1
5,3
4,1
4,1
5,3
4,6
4,6
4,1
4,1
4,1
5,3
4,6
7,5
7,3
6,3
7,3
7,0
5,1
0,10
5,3
11,6
7,3
4,5
4,7
7,4
7,11
5,1
4,11
5,6
7,4
7,4
7,1
4,3
6,1
4,3
4,1
4,0
4,10
4,1
4,1
5,0
5,6
4,1
5,6
4,1
4,1
6,0
11,6
4,1
11,0
5,6
5,6
11,0
6,0
4,1
5,1
5,1
4,1
7,6
5,0
6,0
7,6
11,7
5,0
11,7
7,3
11,5
11,4
11,5
5,1
11,4
11,5
5,1
5,3
11,4
4,10
4,6
5,1
7,10
5,3
5,3
4,6
11,7
7,1
7,6
7,4
6,5
6,1
4,7
7,5
7,0
5,1
7,1
7,4
7,5
7,5
11,3
7,11
7,6
7,1
7,1
4,1
4,10
5,0
4,1
7,6
11,6
11,1
4,5
6,1
7,11
7,5
7,0
5,0
6,3
7,0
5,6
5,0
7,0
5,1
5,6
5,3
4,5
7,6
11,3
7,6
6,0
6,0
5,6
4,5
5,6
5,0
11,0
6,0
11,5
11,5
0,3
5,0
0,10
7,1
4,3
4,6
4,1
4,6
7,1
6,0
4,6
4,1
4,1
4,6
4,1
4,3
4,6
4,1
4,1
4,0
4,1
7,5
5,6
11,6
11,3
7,5
4,3
3,1
4,1
4,3
5,0
5,6
5,0
5,1
6,0
0,1
5,7
11,6
6,3
0,3
11,0
11,10
11,1
11,6
11,6
4,3
11,3
11,7
6,0
6,0
4,6
4,6
5,10
5,3
5,10
11,3
4,5
4,1
11,1
11,3
11,1
4,7
11,5
4,7
11,3
4,3
11,7
4,6
4,5
7,4
7,1
11,1
11,3
7,1
11,5
4,11
4,11
11,10
11,1
7,1
7,1
1,3
4,7
4,3
5,6
6,1
5,6
6,1
4,1
4,6
5,6
4,6
0,3
5,6
5,3
4,1
5,6
5,6
5,6
7,6
6,1
11,3
4,11
4,1
5,6
1,3
11,1
11,3
11,1
4,7
4,0
11,10
11,5
5,7
11,0
5,3
7,3
5,3
4,6
4,7
11,6
11,5
5,3
4,7
4,3
5,1
0,3
11,0
5,1
6,1
4,11
0,1
5,0
5,6
4,11
7,5
5,6
11,7
0,1
5,1
5,6
4,6
4,0
11,3
5,7
11,7
6,0
5,7
5,6
5,7
11,1
11,6
11,3
11,6
11,6
11,0
11,1
1,10
5,7
4,7
5,7
4,7
6,3
5,1
5,1
5,10
4,1
5,3
5,7
5,7
11,6
11,4
11,6
6,10
6,3
4,7
6,0
4,0
5,0
4,1
4,3
7,3
11,5
11,7
11,1
5,1
11,6
4,7
11,6
1,3
7,6
4,1
5,1
7,6
4,7
11,1
11,6
11,7
5,3
4,1
11,7
4,7
6,3
11,7
11,4
1,3
4,3
6,1
5,6
4,6
4,6
1,3
11,7
5,6
5,3
5,10
5,1
11,1
11,6
4,6
11,3
4,6
5,6
5,7
5,6
5,6
5,7
4,10
4,3
11,7
11,6
11,3
11,6
5,7
11,10
5,4
5,3
11,10
11,6
7,3
5,7
5,4
5,6
11,10
11,10
11,1
11,7
5,6
5,6
11,5
11,0
1,0
5,0
11,4
4,0
4,10
5,1
5,3
0,1
5,10
4,1
4,1
11,1
5,3
5,1
4,6
5,1
4,10
11,5
4,3
4,6
5,3
7,10
4,3
7,3
4,6
5,7
5,6
5,3
4,11
11,10
11,10
11,10
4,6
4,10
11,5
4,10
11,4
4,6
4,0
4,3
4,3
0,3
5,3
5,10
11,0
11,3
5,3
5,1
11,3
11,3
11,6
5,3
5,10
4,0
5,0
11,1
11,1
11,0
4,1
11,6
5,6
4,1
6,3
6,3
11,1
11,0
11,1
11,0
4,0
11,0
11,0
5,1
4,3
5,3
5,3
4,6
11,6
5,4
11,1
1,10
11,10
11,6
4,0
11,3
11,6
11,3
11,1
0,1
0,10
5,10
11,6
11,6
11,6
0,1
0,1
0,3
11,6
11,3
0,10
11,4
5,1
11,4
11,4
5,4
11,1
11,5
4,6
5,10
5,6
5,3
4,6
5,4
5,6
5,1
5,10
5,3
11,1
4,3
11,6
11,6
11,4
11,4
11,5
4,6
11,6
5,1
5,4
4,1
3,10
4,6
5,4
5,6
5,4
5,4
6,10
5,3
5,6
6,10
5,1
5,14
6,14
1,14
5,6
5,4
11,4
5,1
5,6
12,0
13,0
5,4
4,6
4,0
4,13
6,1
13,0
13,0
12,3
14,0
0,1
5,6
13,14
13,11
11,4
5,12
11,4
12,0
5,4
5,1
6,10
13,0
14,1
4,12
12,3
12,3
14,3
12,3
1,3
14,1
14,3
5,3
12,6
11,6
11,6
11,3
5,4
14,0
11,6
5,0
5,6
14,0
5,6
5,0
5,14
11,6
6,14
14,1
6,1
4,1
6,10
11,10
5,4
11,0
11,12
5,12
5,14
5,14
4,12
5,12
5,14
4,1
4,1
4,12
14,0
4,0
12,0
12,0
5,14
15,14
5,6
15,0
15,0
5,0
11,0
15,1
6,0
5,12
5,6
5,1
0,1
5,12
5,4
5,6
6,0
0,1
5,4
0,1
5,6
6,12
5,14
5,14
6,12
15,12
11,0
15,1
4,0
15,1
5,4
4,12
5,4
5,0
5,0
5,6
12,6
11,6
15,6
15,6
5,12
4,6
4,1
5,4
5,4
5,6
5,1
5,6
11,1
5,11
15,6
5,4
15,1
5,4
12,0
15,10
11,6
0,1
5,15
6,10
5,15
12,4
4,1
0,1
12,6
15,4
15,4
15,4
4,10
12,4
12,6
12,10
12,15
4,10
11,5
5,6
15,1
5,4
5,4
15,11
15,6
15,6
4,0
5,0
5,6
5,12
5,6
15,5
5,0
5,15
4,6
15,6
15,6
15,1
15,6
15,6
11,0
5,0
12,6
12,4
4,0
11,4
4,10
5,6
5,4
5,1
5,0
15,0
4,10
4,0
12,1
12,6
4,6
4,0
1,10
12,6
5,1
4,6
12,6
5,4
5,6
15,6
11,6
0,5
0,1
11,10
4,6
5,6
5,4
15,4
5,6
15,10
6,0
5,6
15,12
15,11
15,6
5,4
11,0
15,6
12,10
15,6
11,4
5,4
5,4
11,12
5,6
12,6
15,10
15,0
5,6
12,1
5,10
6,1
5,10
5,6
5,0
12,6
11,0
15,0
5,15
15,12
5,4
15,12
12,0
11,6
15,12
11,5
15,12
12,4
15,4
5,4
5,10
5,6
16,6
16,6
0,16
11,6
4,6
6,0
16,6
6,0
16,6
16,6
4,0
5,4
4,0
11,6
11,0
6,0
11,4
6,0
6,0
4,6
15,6
15,5
5,6
4,0
15,11
15,11
11,5
12,16
5,15
16,6
12,0
12,16
6,0
16,6
15,16
15,6
5,4
6,0
15,6
11,4
0,6
15,6
0,6
0,6
15,6
16,6
15,6
5,16
16,5
15,5
16,5
16,5
15,5
15,5
11,0
15,5
15,5
5,6
0,6
0,6
15,5
15,5
17,5
11,16
15,5
17,0
11,16
6,0
15,5
16,6
17,6
17,5
16,0
15,6
5,6
18,11
17,0
11,0
11,0
17,11
11,0
17,11
18,6
17,11
0,6
19,5
17,16
18,0
17,6
17,6
19,0
17,6
16,6
5,18
17,11
19,11
15,5
15,19
5,0
15,0
17,11
5,6
17,5
17,6
17,0
20,0
5,0
18,5
0,6
5,15
17,11
11,5
11,6
17,14
19,15
17,14
17,20
18,0
14,20
14,6
19,15
19,14
5,0
17,14
15,20
18,5
14,6
19,17
