Initiator,Receiver
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,1
1,0
0,1
0,1
0,1
0,1
0,1
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
2,0
0,2
0,2
2,0
0,2
2,0
2,0
2,0
0,2
2,0
3,2
4,8
5,4
5,8
5,7
4,7
6,5
5,7
7,5
5,7
5,6
6,5
3,2
6,8
6,5
6,4
6,8
6,4
6,8
6,4
6,7
5,2
6,5
5,2
5,7
6,2
6,7
8,4
6,5
6,7
5,8
3,4
5,7
3,4
3,4
8,4
5,8
8,4
6,5
8,4
8,4
5,4
8,7
2,8
8,7
3,7
2,4
2,4
2,9
8,7
5,6
8,9
2,7
2,10
2,8
2,10
2,8
9,10
9,10
10,7
8,7
5,10
9,10
9,10
6,7
6,7
8,7
5,10
8,10
5,7
8,5
3,7
2,7
8,10
2,10
5,7
5,9
3,8
3,8
8,10
6,7
2,7
8,7
9,10
9,10
8,7
5,7
5,10
8,7
8,10
5,7
5,10
9,7
5,10
6,7
6,8
5,8
11,7
11,9
8,11
6,7
6,8
6,8
5,10
6,5
3,10
9,10
9,10
9,7
5,7
5,10
6,8
3,10
5,10
5,9
2,11
9,7
2,7
2,11
2,7
5,7
2,11
2,6
8,11
8,9
2,9
6,9
9,7
11,7
9,7
2,7
9,7
6,7
9,7
8,11
8,11
9,7
11,7
6,11
6,7
2,7
2,7
6,11
6,11
6,8
9,7
11,9
9,7
9,7
9,7
6,2
8,7
8,11
9,7
6,11
9,7
2,11
8,11
9,7
2,8
2,11
6,2
6,2
6,11
2,11
6,2
11,2
6,2
6,2
6,11
2,6
6,11
6,2
6,11
9,11
2,6
2,6
6,11
2,6
2,11
6,11
6,11
2,6
2,11
12,11
2,11
12,11
2,11
12,11
12,11
12,11
12,11
6,11
12,11
12,11
12,11
2,11
2,11
12,2
2,11
12,11
2,11
12,2
12,11
12,11
12,11
12,11
11,2
2,11
12,2
11,14
2,13
12,11
12,14
2,11
12,14
2,11
2,11
12,13
2,11
2,14
2,11
13,14
12,2
11,14
12,2
12,2
12,2
12,2
12,11
12,13
12,2
12,2
12,14
2,13
12,2
12,13
12,2
12,2
12,2
12,2
12,2
12,2
2,11
2,11
2,11
2,11
12,11
2,11
2,13
12,2
12,14
12,2
12,13
12,13
12,13
12,14
12,13
12,2
12,14
12,2
12,13
12,11
12,2
12,11
11,14
12,14
12,2
12,11
12,13
12,13
12,13
12,13
11,14
12,13
12,11
12,13
12,2
14,2
12,14
12,11
12,13
12,14
12,13
2,14
12,14
12,11
11,14
13,11
12,11
11,13
12,11
2,14
2,14
2,11
12,14
11,14
12,2
13,14
13,14
11,13
2,13
12,14
13,14
2,14
12,2
2,13
11,13
2,13
11,13
12,13
12,13
2,13
2,13
14,13
15,11
15,2
15,2
15,12
11,14
11,14
15,14
15,11
15,2
15,11
15,13
15,14
15,12
12,15
15,12
13,15
15,13
15,2
15,14
15,11
15,12
15,2
12,13
2,13
12,14
12,11
11,14
12,14
12,11
12,11
12,11
2,15
2,14
2,16
14,11
12,11
12,16
12,11
12,11
12,11
2,14
12,2
15,13
16,14
12,14
12,11
12,14
13,14
12,14
2,14
16,11
2,13
2,14
16,2
16,2
2,14
16,15
15,14
12,2
12,14
12,13
12,11
13,11
12,14
12,13
16,11
12,13
12,14
12,11
14,13
12,17
17,14
13,17
13,17
13,17
13,14
13,14
15,14
17,14
12,17
15,11
12,15
12,14
12,11
13,14
12,14
12,11
17,14
2,11
12,17
13,14
12,17
17,13
12,14
12,14
2,11
12,14
11,13
13,14
12,14
13,14
13,14
15,11
12,2
2,11
2,14
11,14
12,11
12,11
17,11
2,11
17,11
12,14
12,2
12,11
15,11
2,11
2,14
2,11
17,11
15,14
17,11
15,14
17,14
17,14
12,14
17,11
12,11
17,2
2,11
12,17
12,15
12,14
12,11
17,25
17,15
12,14
11,25
12,15
2,11
12,25
15,2
15,2
17,14
12,11
12,11
12,14
15,14
2,14
12,25
12,2
12,25
12,11
12,11
12,11
12,11
17,25
12,2
12,14
12,2
2,11
2,11
11,25
17,14
2,14
12,11
2,11
17,12
17,11
17,2
17,2
15,14
12,11
17,15
12,2
2,11
2,14
2,11
2,14
12,14
12,11
12,11
14,11
12,11
12,14
12,11
15,11
12,2
12,14
12,11
17,11
12,11
12,11
17,11
2,11
17,2
17,2
12,17
2,11
12,11
12,11
12,2
12,11
2,11
12,11
2,11
12,2
2,11
12,2
17,2
11,17
17,12
17,2
17,12
2,11
11,12
17,2
12,2
12,2
12,2
12,2
12,2
12,2
17,11
12,11
12,2
12,2
12,2
12,17
12,2
11,2
12,11
12,2
12,2
12,11
12,17
12,11
12,11
11,2
12,11
12,2
17,11
17,12
12,11
17,12
12,2
12,11
12,2
12,11
12,11
12,11
12,2
12,2
2,11
17,11
17,11
12,17
12,11
17,11
17,11
17,12
12,11
12,11
12,11
17,25
12,2
12,11
2,25
2,25
17,2
17,11
17,2
17,11
12,11
17,11
17,2
17,2
17,11
12,11
12,2
17,2
12,11
17,11
12,2
12,11
17,2
2,26
2,26
2,11
12,2
12,11
12,11
17,2
17,12
17,2
17,11
12,11
12,11
17,11
17,12
17,11
2,11
12,11
17,14
17,12
17,12
17,2
2,14
12,2
17,12
17,11
12,11
2,11
12,11
17,2
17,2
12,2
12,11
17,11
17,11
12,11
12,11
17,12
12,17
2,11
17,12
17,11
17,2
17,2
17,11
17,11
17,11
17,12
17,12
17,11
12,11
12,11
12,2
12,2
17,12
17,11
12,11
11,2
12,2
17,2
17,12
12,11
17,11
17,2
17,11
2,11
17,11
17,12
17,11
17,2
12,11
17,12
17,11
17,2
12,11
12,11
17,11
17,2
2,11
17,12
17,11
17,2
17,2
12,11
17,2
17,2
17,2
12,11
17,12
12,11
17,12
17,2
17,2
17,2
17,2
17,11
17,2
17,2
17,12
17,2
17,2
12,2
12,2
17,12
12,2
17,2
17,2
17,12
17,2
17,2
17,2
17,2
17,2
17,2
17,2
12,2
2,11
17,11
17,2
17,2
12,11
12,11
2,11
12,11
12,2
17,2
17,12
17,2
12,2
12,11
17,2
12,2
17,11
12,2
17,11
17,12
17,12
17,12
12,2
12,2
17,12
17,12
17,12
17,2
2,18
17,2
17,18
17,18
2,18
17,18
12,18
11,18
17,18
2,18
18,19
19,12
19,12
12,18
19,12
19,17
19,17
19,12
17,18
12,18
17,18
19,18
19,18
12,18
17,18
19,18
12,18
17,18
19,17
19,17
19,12
19,12
19,17
19,11
19,12
12,11
19,12
19,17
12,11
17,11
17,12
17,11
17,18
19,18
17,18
17,18
17,18
17,18
17,18
12,19
17,27
11,27
17,27
17,27
12,19
19,12
19,17
19,17
19,17
17,11
12,27
19,17
17,11
19,12
19,17
17,11
19,11
19,18
17,18
19,27
19,12
19,11
17,27
12,11
17,27
19,11
19,27
17,27
12,11
17,12
12,27
17,11
11,27
11,27
19,12
19,11
17,27
19,11
12,11
17,11
17,11
17,11
17,12
19,17
19,17
19,12
19,11
19,12
19,12
17,11
19,11
19,17
19,12
19,18
17,11
17,12
12,11
19,17
17,11
12,11
12,27
19,17
12,27
17,27
17,12
19,27
19,12
12,11
12,11
19,18
19,17
19,17
17,27
17,27
19,11
19,11
19,17
19,11
17,27
19,11
12,27
19,17
19,12
17,18
17,18
17,12
19,11
19,17
17,11
19,17
19,12
19,11
17,12
17,18
12,18
19,18
19,11
19,18
12,27
17,27
17,11
12,18
17,27
17,27
17,18
18,27
19,18
12,11
12,11
12,11
19,12
12,18
12,18
17,11
19,12
17,11
17,19
19,11
17,19
12,27
19,18
19,12
19,17
19,17
19,11
19,12
19,11
19,17
17,27
17,11
17,27
17,27
12,27
17,11
17,12
12,11
19,11
19,17
