Initiator,Receiver
0,2
0,2
1,3
1,3
0,32
0,2
0,32
0,2
0,3
0,3
0,3
0,3
0,1
0,1
1,2
1,2
1,2
1,2
0,2
1,0
0,3
0,2
1,8
1,0
0,2
1,2
1,3
1,33
1,2
0,3
0,3
1,0
1,3
2,3
0,2
1,3
1,3
1,3
2,3
1,2
1,2
2,3
1,2
2,3
1,3
1,2
1,2
1,2
1,3
1,3
1,2
1,2
1,3
1,3
1,3
2,3
1,2
1,2
2,3
1,2
1,4
2,4
2,4
2,4
2,3
2,4
5,4
5,3
5,6
2,4
5,3
6,1
1,3
6,2
6,4
1,3
1,3
6,3
6,2
1,2
4,2
6,2
6,4
6,2
6,3
6,3
6,2
6,4
2,4
1,4
1,4
3,4
1,3
6,1
2,4
6,3
1,3
2,3
1,4
3,6
6,1
1,3
6,4
6,2
1,2
3,4
3,4
5,3
5,1
5,1
1,4
6,3
3,4
5,3
6,4
2,3
5,4
6,3
5,2
6,2
2,3
6,2
6,3
1,7
7,3
5,3
5,7
5,3
6,2
5,2
6,2
6,3
5,7
7,3
5,3
5,3
2,3
6,1
6,8
6,3
6,8
6,2
7,2
5,8
5,3
8,3
8,3
7,1
7,1
7,2
5,3
7,2
6,3
1,2
6,3
5,3
5,1
6,1
6,3
6,7
5,2
2,3
5,3
2,3
2,3
6,3
7,3
5,3
7,2
7,3
7,2
6,2
6,1
5,2
5,7
6,1
6,7
6,1
5,2
5,7
5,3
1,2
6,3
1,3
1,3
1,3
6,1
5,2
5,1
6,3
5,1
6,5
6,3
5,1
6,3
6,3
6,1
5,3
5,3
6,3
6,5
6,3
5,3
1,3
5,1
5,1
6,3
6,3
6,3
6,5
5,3
1,3
5,3
1,3
6,1
5,1
6,3
5,6
1,3
1,3
6,3
6,5
6,3
5,6
1,3
6,5
5,1
5,1
6,5
6,5
6,5
6,5
1,3
1,3
6,3
6,5
3,7
5,1
5,1
6,7
6,3
5,7
1,3
6,3
6,5
6,5
6,5
1,3
6,5
6,3
6,5
6,3
6,5
5,1
5,3
5,3
5,3
6,5
5,3
6,5
6,5
5,6
5,1
5,1
6,1
6,5
6,3
6,3
5,3
1,3
3,5
1,5
5,3
6,3
6,9
6,3
9,5
5,1
5,3
5,3
1,5
1,5
5,3
5,3
1,5
5,3
6,3
6,5
1,3
6,1
6,1
6,1
6,1
6,3
6,3
1,5
6,1
6,5
5,3
3,5
1,5
1,5
6,3
1,3
5,11
6,11
6,5
6,3
1,3
6,3
10,3
11,8
5,3
1,3
3,1
6,11
10,1
10,3
10,3
10,3
10,3
6,11
6,3
6,5
10,5
10,5
5,8
5,8
3,11
5,11
5,11
11,6
10,6
10,1
10,1
11,6
5,11
1,6
10,1
1,6
1,6
5,6
1,6
10,6
10,1
11,6
1,6
10,11
10,6
10,1
10,6
10,6
10,3
10,11
3,6
10,11
10,3
10,5
10,5
5,3
10,3
10,1
10,11
1,6
11,6
10,6
10,11
10,5
1,5
1,5
10,3
6,3
10,5
6,3
10,3
1,5
10,11
10,3
10,1
10,1
10,5
1,5
10,3
10,11
11,6
5,3
10,3
10,5
5,3
10,5
1,6
10,5
10,5
11,6
10,1
7,6
10,7
8,3
8,3
10,7
10,11
8,3
8,3
1,8
10,3
11,6
10,6
6,8
3,8
7,6
10,6
7,3
11,3
11,3
10,11
6,11
10,6
11,1
11,6
1,6
10,6
11,7
11,6
10,11
10,11
10,7
10,6
10,6
7,6
10,7
10,3
10,6
10,6
10,7
7,6
10,1
10,1
10,1
10,7
1,6
7,6
7,3
7,6
7,3
7,3
7,6
10,7
10,6
10,7
7,6
10,7
6,7
10,7
10,6
10,1
10,7
10,3
7,3
1,7
10,6
