Initiator,Receiver
0,2
0,49
0,1
0,2
0,2
1,2
0,2
0,2
0,4
0,2
0,1
0,1
0,2
2,49
0,2
0,2
0,49
0,1
1,2
0,2
0,49
0,2
0,2
0,2
3,1
0,2
1,2
4,1
0,2
1,4
0,2
0,2
0,2
0,2
0,2
0,2
2,1
3,49
2,49
3,49
2,49
0,1
2,0
0,3
0,3
0,2
3,4
3,1
0,4
0,49
0,2
1,2
0,2
1,2
1,2
0,1
2,49
0,1
0,3
0,2
0,2
0,2
0,1
1,49
5,2
5,2
5,0
0,3
5,2
5,1
1,3
2,49
2,49
0,2
3,0
5,1
1,2
5,0
3,2
0,49
5,0
5,2
5,2
1,0
0,49
5,2
0,2
1,2
0,2
0,49
0,2
5,49
5,0
5,1
2,49
2,49
2,49
0,49
0,49
5,1
5,1
2,49
5,2
5,1
2,3
5,2
5,1
5,0
5,0
5,0
0,49
5,49
5,0
3,49
5,2
1,0
5,0
5,49
3,49
1,2
0,49
0,49
5,1
3,49
0,2
5,49
0,49
5,2
5,2
2,49
0,49
0,2
3,2
0,49
5,49
5,49
5,2
5,3
5,49
3,2
2,49
1,2
2,3
5,0
5,0
5,1
2,49
3,2
0,2
3,49
0,49
0,2
5,2
3,2
2,49
3,2
3,2
5,49
3,49
5,2
5,2
5,49
3,49
5,2
5,49
5,2
5,49
5,2
5,49
2,49
5,49
5,49
5,2
3,2
3,49
5,2
5,49
2,49
2,49
3,49
5,0
5,0
2,49
2,49
2,49
0,49
2,49
0,2
2,49
2,49
5,0
3,49
5,49
2,49
5,2
5,49
2,49
3,49
5,3
5,49
3,49
2,49
3,2
3,2
5,2
2,49
5,2
3,49
5,2
5,2
5,2
3,2
3,2
3,2
5,2
2,49
3,2
5,2
5,2
3,2
5,2
5,2
5,3
5,2
5,3
5,2
5,2
5,3
5,2
5,3
2,3
2,3
2,3
5,2
5,2
3,2
3,2
2,3
5,3
5,2
5,2
2,3
2,3
5,2
2,3
2,3
5,2
2,3
5,3
5,3
5,2
5,2
5,2
5,2
5,3
5,2
2,3
5,3
5,2
2,3
5,2
2,3
2,3
5,3
5,2
5,3
2,3
5,3
2,3
5,3
2,3
5,3
2,3
5,2
5,2
5,3
2,3
5,2
5,2
5,2
5,3
2,3
5,2
5,2
5,3
5,3
2,3
2,3
5,3
5,3
5,3
5,3
5,2
5,3
3,2
5,2
5,2
5,3
5,2
5,2
5,2
5,3
5,2
5,3
5,3
5,3
5,3
5,2
3,2
3,2
5,2
5,3
5,3
5,2
5,3
5,2
5,3
5,3
5,3
5,3
6,2
3,6
5,3
5,3
5,2
5,3
2,5
5,2
3,2
3,2
5,3
5,6
5,3
5,2
5,6
5,3
5,6
3,2
5,6
5,6
3,6
5,6
6,2
5,2
5,3
5,2
5,6
5,3
5,6
5,6
5,3
3,2
5,6
5,3
3,2
3,2
5,2
5,2
5,3
3,2
5,3
5,3
5,3
3,6
5,3
5,6
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
3,2
5,2
5,3
5,2
5,2
3,2
5,2
5,2
5,3
5,2
5,2
5,2
5,3
5,3
5,3
5,3
5,3
5,3
5,3
7,5
7,5
8,5
7,5
7,5
7,5
7,5
5,3
7,5
5,3
7,5
5,3
5,3
7,5
7,5
7,5
5,3
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
5,10
3,11
7,11
5,10
7,3
3,5
3,10
7,5
3,11
7,5
7,10
7,5
3,10
3,5
7,10
7,3
7,5
7,11
9,7
9,10
9,5
9,5
10,5
9,5
9,5
11,5
9,7
9,3
10,5
9,5
10,5
9,5
9,7
9,3
11,5
7,5
10,5
9,5
10,5
10,11
9,3
3,5
9,5
10,5
9,5
10,5
9,5
9,3
7,3
7,5
9,7
9,5
9,5
10,5
10,5
10,5
9,5
9,5
9,7
9,10
9,3
9,5
11,5
10,7
9,5
9,3
9,5
11,7
9,3
9,3
9,10
9,3
11,7
11,7
11,5
9,3
9,5
9,7
9,3
5,50
9,11
9,3
9,10
9,5
9,7
9,10
9,3
9,7
9,11
9,3
9,5
9,5
9,3
9,10
9,7
9,11
9,3
7,5
10,5
10,50
9,11
9,3
9,11
9,5
9,11
3,5
9,3
9,10
9,12
9,11
11,5
9,3
3,10
12,3
9,3
9,5
9,3
9,10
9,12
5,50
9,11
9,5
9,10
9,3
11,5
11,13
11,5
11,5
9,12
12,10
9,12
12,3
12,10
13,50
12,3
9,11
12,5
9,5
9,3
9,5
12,10
12,11
12,13
9,5
9,3
12,3
9,50
12,50
13,12
12,50
12,5
12,10
12,10
12,5
12,10
11,5
12,10
10,3
9,5
9,11
11,5
9,10
9,3
11,5
11,50
11,5
11,50
11,50
9,11
10,5
12,10
12,50
9,10
9,3
9,13
9,3
9,3
9,10
12,13
9,3
12,5
9,5
9,50
13,50
12,14
9,12
9,11
9,12
9,10
9,3
9,5
9,12
9,3
10,5
10,5
12,10
12,5
11,14
3,14
9,5
11,5
12,10
9,11
9,10
10,14
9,10
12,14
10,5
12,5
9,3
10,5
10,3
12,14
12,5
3,13
9,12
13,5
13,5
12,13
13,14
9,14
11,14
12,10
12,5
3,5
9,12
9,3
11,14
9,3
9,5
3,5
9,11
11,5
9,5
12,5
9,11
13,5
9,14
12,5
11,5
9,11
9,5
12,5
12,11
9,3
9,13
9,5
12,5
3,5
