Initiator,Receiver
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,4
0,1
0,4
0,1
0,1
0,4
0,1
0,1
0,4
0,1
1,0
0,1
0,1
0,1
0,1
0,4
0,4
1,0
0,1
0,1
0,1
0,1
0,1
0,1
1,0
0,1
1,0
1,0
0,4
1,4
0,4
0,4
0,4
0,1
0,4
0,4
0,4
0,4
0,1
0,4
0,1
0,4
0,1
1,4
0,4
1,4
1,4
1,4
1,0
0,4
0,4
1,4
1,0
0,4
0,4
1,4
0,2
0,2
0,2
1,4
1,4
1,4
1,4
1,2
1,4
1,4
1,4
1,4
0,4
0,1
1,0
0,2
1,2
1,4
0,4
0,4
2,4
1,4
1,4
0,4
0,48
1,48
0,4
1,0
1,2
2,48
0,48
1,0
1,0
2,0
2,4
2,4
2,0
2,4
1,0
1,0
2,48
1,0
0,48
1,0
0,48
2,48
1,0
1,48
1,0
1,4
0,4
1,0
2,4
1,0
1,4
1,4
2,0
1,4
0,4
0,4
2,4
2,4
0,4
2,4
1,0
1,2
0,1
1,0
1,3
0,1
1,0
3,4
1,3
1,0
0,2
0,3
1,3
2,4
1,0
0,1
1,0
1,4
1,3
1,0
1,4
1,0
1,3
2,3
1,2
2,4
1,4
2,0
2,4
2,4
2,4
1,3
2,3
2,4
2,4
2,3
2,4
1,3
2,4
1,0
2,4
2,4
2,3
0,3
2,3
2,1
2,1
2,3
2,4
2,4
2,1
2,4
1,0
1,3
0,4
1,0
1,0
3,4
2,4
2,4
2,3
2,1
1,4
1,0
1,3
1,4
1,4
1,0
1,2
2,4
2,4
2,4
3,2
0,4
0,2
1,3
1,3
1,3
0,2
1,4
0,3
4,3
1,3
1,4
2,3
3,4
1,3
2,4
0,1
1,0
1,4
1,4
1,3
3,4
3,4
0,2
3,4
0,4
0,2
0,4
1,4
1,3
1,4
1,4
0,4
0,4
3,4
0,4
1,0
1,4
0,5
0,5
1,5
2,4
2,4
1,4
1,5
1,5
1,5
2,4
0,5
0,5
1,5
0,5
1,4
0,5
0,5
1,5
1,5
2,5
0,5
5,4
1,5
1,4
1,5
2,5
1,5
0,5
1,5
2,5
2,0
1,5
1,0
1,0
1,0
2,0
2,0
1,5
1,0
1,2
1,2
1,5
0,5
1,5
1,5
0,5
1,5
1,0
1,0
1,0
1,0
1,0
1,5
1,5
2,5
1,5
1,5
2,5
1,0
0,5
1,5
2,5
2,5
1,5
2,5
1,5
1,5
2,5
0,5
2,5
1,5
2,0
1,5
1,2
1,5
0,2
1,5
1,2
1,2
0,2
1,2
0,5
0,2
0,2
0,2
0,5
1,0
1,5
1,5
2,3
0,3
6,1
2,3
1,6
2,3
0,2
0,2
0,3
1,3
1,3
1,2
6,1
6,1
6,1
3,2
0,3
0,2
0,5
0,5
0,5
0,5
1,0
1,5
0,5
2,5
0,2
3,2
3,2
3,2
3,5
1,0
3,5
3,5
3,5
5,2
3,2
3,2
3,2
3,1
7,5
7,2
0,5
7,5
3,5
7,5
7,5
1,5
0,5
1,5
1,0
1,5
7,2
0,3
7,2
7,5
7,1
7,5
7,5
0,5
0,7
7,2
0,1
7,5
8,2
7,1
1,5
7,1
0,5
7,2
2,7
7,1
0,5
7,2
7,5
1,5
1,2
1,2
7,2
1,5
0,5
0,5
1,0
1,5
0,11
1,9
1,11
10,0
0,2
1,2
10,5
11,2
2,5
2,5
2,5
0,9
1,2
1,5
9,2
9,2
9,5
10,9
1,2
10,9
1,5
5,2
1,5
1,5
11,9
11,5
11,9
10,9
5,2
10,11
1,2
1,5
0,9
11,10
0,9
1,9
1,10
1,10
1,5
11,10
1,5
10,5
10,2
10,2
10,9
11,9
1,2
0,5
10,2
10,5
10,9
9,5
9,2
10,2
10,9
10,9
1,11
1,2
0,11
1,2
11,5
1,5
10,5
12,9
10,13
12,5
11,9
1,11
13,9
13,9
13,12
1,2
1,9
10,11
1,2
1,13
1,12
10,9
11,5
11,9
11,5
11,9
0,11
1,13
10,2
11,2
0,9
10,2
1,11
1,2
13,14
1,2
13,11
10,9
2,9
10,14
1,2
9,5
9,5
1,2
1,9
1,14
1,2
0,14
1,2
14,9
11,14
11,14
11,14
0,14
11,9
5,11
11,14
5,11
9,2
12,14
1,11
0,2
0,13
13,5
0,5
0,13
1,2
1,11
0,14
1,2
9,5
1,0
1,11
9,2
10,14
0,5
1,11
1,11
1,5
1,2
1,9
10,5
10,14
1,9
0,5
0,9
0,5
10,9
13,14
10,2
1,2
0,14
10,9
0,14
10,49
1,5
1,9
14,9
2,5
1,5
11,13
10,5
10,11
14,5
0,5
1,5
1,5
10,9
1,14
0,14
11,13
11,2
0,5
1,5
0,14
0,14
0,14
2,14
0,14
1,11
1,11
10,5
0,9
11,5
10,14
1,9
0,14
14,9
11,9
5,14
0,5
10,5
10,9
10,11
10,9
10,11
0,5
0,2
0,9
10,14
10,9
14,9
1,11
1,9
1,9
1,5
1,0
10,9
10,13
10,13
1,2
0,14
10,9
10,13
1,2
0,5
1,0
1,2
1,0
10,2
10,5
10,2
1,2
1,2
1,5
1,0
1,9
0,9
1,9
1,2
0,5
1,0
10,9
10,0
0,9
1,9
10,13
11,5
14,13
1,5
14,9
1,9
0,5
1,5
1,5
1,11
10,14
0,11
1,5
1,11
1,9
0,9
0,5
9,13
0,14
10,9
11,13
1,13
1,5
0,5
10,14
0,20
1,5
10,14
5,9
1,5
1,14
1,5
0,9
0,9
0,14
0,9
1,5
0,14
14,11
0,14
10,14
10,5
5,13
5,13
10,9
1,0
1,9
14,5
10,11
0,11
10,9
1,11
11,13
5,9
11,13
14,15
1,15
15,13
1,15
1,14
1,11
0,11
1,0
1,9
14,5
10,11
0,9
10,9
14,1
10,5
10,9
0,15
14,10
1,5
11,5
1,11
1,5
10,11
14,5
1,15
1,11
1,9
14,9
1,5
1,14
0,15
14,15
10,14
10,14
13,5
11,5
1,9
1,5
0,16
10,11
10,13
10,14
5,9
1,5
1,5
1,11
1,9
1,11
1,5
1,9
1,5
1,0
1,11
1,5
1,13
1,9
1,9
10,9
1,9
14,5
14,9
1,5
1,10
1,5
10,13
0,5
10,5
1,5
9,5
14,9
0,13
0,17
17,1
1,13
14,0
1,9
1,5
14,9
10,15
1,9
1,5
17,1
1,13
1,17
1,9
1,5
10,17
14,5
1,13
17,1
17,9
0,13
1,9
17,1
14,0
17,0
0,13
14,9
1,5
1,13
9,5
17,1
17,1
14,0
17,1
14,13
17,1
17,9
17,1
17,0
17,0
1,13
17,14
17,0
17,0
17,1
1,0
17,0
1,13
17,5
17,14
17,9
17,1
17,9
17,9
17,9
17,0
17,1
17,1
17,9
17,1
0,5
17,9
17,1
1,9
10,13
0,13
1,9
17,13
17,1
0,13
10,9
0,5
17,1
10,1
10,13
0,13
10,9
17,0
1,0
17,5
1,9
17,1
1,9
0,13
9,5
9,5
1,9
17,1
17,9
17,5
10,9
1,9
1,13
10,13
17,9
9,5
17,0
17,5
17,9
1,5
17,1
17,13
17,9
10,1
17,9
10,1
0,1
0,9
10,1
0,9
17,9
9,5
17,9
10,5
0,9
17,5
0,5
10,0
0,5
0,1
17,9
17,13
17,0
17,0
17,9
5,1
10,1
5,1
5,1
5,1
5,1
17,9
17,1
17,9
0,5
17,1
9,5
17,1
17,13
10,9
0,5
10,0
10,9
9,5
10,9
10,13
0,5
10,13
5,1
17,10
17,0
0,9
10,5
0,1
17,0
0,9
0,9
17,9
9,5
17,9
10,1
9,5
10,0
0,5
0,13
9,5
9,5
10,5
10,0
1,5
10,0
10,1
17,5
10,0
10,13
10,13
10,13
17,0
17,1
10,5
10,0
17,5
17,9
17,0
0,9
17,0
10,0
10,9
1,9
13,5
18,9
10,1
18,1
10,9
1,9
18,0
18,1
18,1
10,9
17,9
10,18
9,5
13,1
9,5
10,9
0,1
17,1
18,5
5,1
9,5
17,1
0,13
10,1
10,5
17,5
17,9
0,1
0,17
13,1
10,17
10,17
17,0
9,5
17,1
9,5
10,13
10,9
17,0
17,5
17,0
18,0
17,0
17,0
17,0
10,18
18,5
18,10
17,9
5,1
