Initiator,Receiver
0,15
5,13
0,6
2,12
2,16
1,6
1,9
5,13
2,6
11,6
7,17
5,13
4,9
1,17
4,8
4,16
3,6
4,9
6,14
4,15
6,7
4,6
3,17
9,16
2,3
11,17
6,14
1,8
3,6
0,5
1,14
5,12
16,14
4,17
5,17
4,9
1,5
4,13
1,12
7,6
4,3
4,6
16,6
4,6
5,12
4,9
5,16
4,15
4,13
4,17
15,17
1,16
2,11
3,8
3,5
3,8
2,3
2,5
2,15
1,15
2,8
6,13
16,9
11,14
13,15
3,5
1,9
11,14
11,16
13,14
3,6
7,0
11,15
2,8
1,13
5,15
0,15
0,16
0,12
11,17
0,3
0,8
0,14
1,14
0,6
6,9
7,16
4,3
6,7
4,5
4,7
0,13
4,3
4,15
0,11
11,5
4,6
2,6
2,5
1,13
0,17
0,10
2,8
5,12
5,12
0,5
9,17
9,17
5,7
11,6
0,17
3,14
9,11
1,16
6,15
2,9
7,4
9,4
9,11
2,9
2,9
1,16
3,16
0,2
2,6
1,16
6,13
6,13
1,0
2,6
6,13
3,9
0,2
9,11
11,15
11,15
2,13
6,9
11,15
2,10
0,2
0,7
0,7
3,7
8,16
9,15
2,12
8,3
3,8
0,11
8,16
2,16
2,5
5,15
0,3
0,16
2,9
2,16
0,16
8,16
1,8
2,16
9,12
11,17
2,6
2,6
1,5
5,16
7,11
5,12
5,8
15,16
1,17
12,17
1,8
9,15
11,16
1,5
5,12
0,16
8,11
12,17
0,17
1,16
5,11
5,9
0,4
0,9
9,7
1,8
1,8
4,6
5,8
5,6
1,4
0,3
0,3
2,12
2,17
1,17
0,9
1,13
1,3
2,10
2,17
5,10
0,9
6,10
6,13
0,4
2,14
2,9
2,14
2,6
2,15
1,5
2,15
0,4
2,9
0,16
0,3
1,11
2,9
2,9
15,3
2,12
0,7
0,4
0,11
0,17
2,8
2,9
2,9
11,12
0,8
2,9
0,3
1,16
5,11
2,3
2,6
3,9
2,0
2,13
0,2
2,16
0,11
4,17
4,9
2,16
2,16
2,11
2,12
2,17
0,2
2,6
2,6
0,12
12,3
0,2
0,11
5,3
0,11
5,2
15,17
2,15
2,17
1,15
1,12
7,5
6,15
2,1
6,15
2,5
2,17
2,12
2,5
2,17
2,9
1,8
2,7
0,14
2,5
0,11
6,15
2,12
5,3
6,15
1,5
6,15
2,11
1,8
6,15
5,8
2,5
2,5
2,5
0,17
0,2
2,12
1,8
0,12
16,17
0,17
2,6
2,15
2,12
0,1
1,0
1,4
2,16
0,16
2,9
1,17
1,8
2,9
2,12
2,10
2,10
2,10
2,10
0,12
2,9
3,12
0,7
6,15
6,15
3,4
3,12
2,12
5,12
2,15
2,6
2,12
0,12
0,5
0,8
4,5
8,7
2,7
0,15
0,12
2,6
2,6
2,5
0,9
2,6
2,9
6,11
0,12
2,8
2,9
2,6
2,6
0,7
2,6
5,15
5,11
1,5
1,5
1,7
3,6
3,6
2,6
2,14
2,6
0,2
