Initiator,Receiver
0,6
0,6
0,5
0,7
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,7
0,4
0,4
0,4
0,4
0,3
0,3
0,3
0,3
0,3
6,5
6,4
6,7
6,0
6,0
6,0
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,3
6,3
6,3
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,7
6,7
6,7
6,7
6,7
5,4
5,4
5,4
5,4
5,7
5,0
5,0
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,3
5,3
5,3
5,3
5,4
5,4
5,4
5,4
5,4
5,4
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
3,0
3,6
3,6
3,5
3,5
4,0
4,0
4,3
4,3
4,0
4,6
4,6
4,6
4,6
4,5
4,5
4,5
4,7
4,7
4,7
7,0
7,6
7,0
7,0
7,6
7,6
7,6
7,6
7,5
7,5
7,3
7,4
1,2
1,2
2,1
2,1
2,1
2,1
