Initiator,Receiver
7,1
7,2
7,1
7,1
0,2
0,5
7,6
7,6
7,6
7,5
7,0
7,4
7,4
7,4
7,4
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,5
7,5
7,5
7,5
7,5
7,5
7,0
7,0
7,0
7,0
7,0
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
1,7
1,0
1,7
1,7
1,7
1,2
1,2
1,6
1,5
1,5
1,5
1,0
1,0
1,0
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,7
6,7
6,5
6,0
6,4
6,7
6,7
6,2
6,0
6,4
6,4
6,4
6,4
6,4
6,4
6,4
3,7
3,7
7,3
7,3
1,3
1,3
1,3
1,3
1,3
5,7
5,7
5,1
5,1
5,1
5,1
5,6
5,6
5,6
5,6
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
0,6
0,7
0,6
0,6
0,6
0,3
0,4
0,4
0,4
0,4
4,5
4,5
4,7
4,7
4,1
4,1
4,1
4,2
4,6
4,6
4,5
4,0
