Initiator,Receiver
8,26
8,16
13,16
13,16
13,16
13,16
13,16
13,16
13,16
8,16
8,16
8,16
8,16
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
24,12
24,12
24,12
24,12
24,12
5,18
24,16
24,1
0,17
0,17
5,17
0,17
24,16
18,17
18,17
24,16
1,6
24,6
24,26
24,1
24,1
24,1
24,0
24,12
24,12
6,5
6,5
1,6
6,5
24,16
24,16
1,12
24,12
1,12
1,12
24,12
5,20
5,20
5,20
5,16
12,20
1,0
8,1
1,20
8,1
24,5
24,26
26,18
8,26
8,26
8,26
8,12
8,6
8,6
8,13
8,13
8,26
8,18
8,18
26,18
8,26
8,26
26,16
26,4
1,4
26,4
8,26
5,16
5,16
8,1
8,1
12,26
12,4
12,4
12,4
26,4
26,4
26,4
26,4
8,4
8,26
12,4
8,12
8,26
0,18
8,16
8,16
8,5
8,5
8,5
8,5
26,0
26,16
18,16
8,24
3,4
18,16
18,16
8,26
4,18
4,18
8,18
8,13
13,12
13,12
13,12
8,12
8,1
8,1
1,6
6,27
6,27
1,6
1,6
1,6
1,12
4,27
4,27
4,27
4,27
4,27
8,12
8,18
8,18
8,26
8,18
26,18
8,18
8,1
1,26
18,16
13,18
23,18
23,18
12,18
12,18
4,23
4,23
4,23
4,23
24,16
27,16
8,27
24,27
23,16
5,16
23,16
4,16
5,16
5,16
23,16
4,16
4,23
1,23
4,5
1,5
4,23
5,23
1,23
8,5
8,4
13,4
13,4
13,4
13,4
4,12
4,5
4,5
6,5
13,5
18,3
12,23
12,23
12,23
24,4
8,13
8,13
3,4
8,4
3,4
3,4
3,4
8,13
13,4
8,4
8,4
6,16
6,16
6,16
24,16
24,16
24,27
12,27
12,27
12,27
12,27
12,27
24,27
24,27
24,27
24,27
24,27
13,12
24,12
12,27
12,27
12,27
13,27
24,27
13,24
13,27
13,27
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
13,4
24,4
24,4
24,4
13,4
13,4
13,4
13,4
13,4
12,4
12,4
13,6
24,6
6,27
27,23
13,23
27,23
13,27
13,27
13,27
13,27
13,27
13,27
13,27
13,27
13,27
23,18
23,18
23,18
23,18
23,18
23,18
23,18
24,12
8,12
24,12
27,23
12,23
12,23
27,23
27,23
13,24
8,1
12,23
12,6
12,6
24,6
1,6
24,6
24,6
1,23
24,16
24,1
8,13
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
24,27
3,16
3,16
3,4
3,16
3,4
3,18
6,18
3,18
6,18
0,12
12,0
12,0
1,16
8,16
1,16
13,16
24,6
1,4
1,4
1,4
1,4
6,23
4,23
6,23
4,23
6,23
4,23
6,23
3,18
6,18
13,24
8,6
13,6
13,6
1,16
1,6
4,16
6,4
6,4
8,4
8,4
26,4
8,26
8,26
8,5
8,5
8,5
8,5
5,0
1,26
6,5
8,5
8,6
8,6
8,13
13,26
8,26
24,5
8,0
8,0
12,0
8,0
8,0
12,0
12,0
12,0
8,0
4,0
8,0
0,18
26,16
13,27
13,27
13,27
24,6
24,6
24,6
13,6
24,18
5,16
1,18
8,6
6,18
1,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
0,18
0,18
0,18
0,18
1,18
8,6
8,5
8,12
4,23
4,23
26,20
16,20
12,5
12,5
26,5
4,0
20,26
13,5
12,5
13,5
12,5
8,5
12,0
4,0
8,0
12,0
