Initiator,Receiver
21,3
21,3
21,3
21,3
82,21
32,5
32,47
47,5
47,5
47,5
47,5
47,40
1,40
1,47
43,23
1,47
1,47
1,47
1,47
105,3
43,105
43,105
43,105
2,23
40,105
43,82
43,1
43,23
43,82
43,82
43,120
43,120
43,120
43,120
32,40
1,105
1,105
1,105
43,105
43,105
43,105
82,30
43,30
32,47
32,40
32,40
32,40
32,30
40,30
105,30
32,105
43,105
4,21
4,21
4,49
4,49
4,49
4,49
32,105
43,3
51,30
120,0
40,105
47,105
4,49
4,49
4,49
4,49
32,49
4,2
4,2
4,2
82,23
51,23
43,145
32,145
32,145
32,30
51,23
51,23
32,43
43,30
43,30
43,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
32,4
5,4
21,23
21,23
21,23
21,23
21,23
21,23
21,23
21,23
21,23
4,25
32,145
82,25
49,145
49,145
49,145
4,25
47,23
47,23
47,23
82,0
30,2
105,2
47,43
47,43
43,30
135,30
43,30
47,99
40,99
40,99
40,99
40,99
40,99
99,4
47,99
47,99
40,25
40,4
40,82
99,82
82,99
43,82
43,82
47,99
32,82
43,82
43,82
32,25
32,82
32,82
43,82
40,5
99,5
32,82
82,25
82,25
43,82
82,99
99,2
43,23
99,135
99,135
99,135
47,105
47,105
47,105
120,30
120,49
135,51
32,51
51,105
43,99
43,99
43,99
43,99
47,99
47,99
32,99
99,4
51,25
99,135
32,135
32,135
32,135
99,4
99,4
99,4
21,49
99,49
99,49
99,49
32,99
32,99
21,25
4,25
99,25
4,23
4,49
49,23
49,23
43,135
32,43
99,43
32,4
79,105
79,82
79,47
82,47
32,47
32,47
79,105
79,47
79,47
79,47
79,47
47,21
47,21
47,25
47,135
47,135
47,135
32,135
32,135
47,135
47,135
47,135
47,135
32,135
32,25
32,51
51,25
51,120
51,49
120,49
120,99
47,135
47,135
32,135
30,21
82,23
82,23
82,145
82,23
30,51
25,135
79,30
47,25
47,25
120,49
121,49
120,121
121,49
120,49
47,135
47,135
47,135
135,25
47,135
5,135
135,51
47,51
135,51
51,25
32,135
47,99
47,99
47,99
47,99
5,23
32,49
32,49
32,49
32,49
32,49
43,121
32,25
99,25
135,25
47,21
99,21
99,21
135,21
