Initiator,Receiver
4,20
8,40
9,28
11,39
12,33
12,30
15,2
20,40
20,28
20,14
22,30
22,30
31,12
31,23
31,7
31,11
33,0
33,21
33,21
35,28
35,20
38,7
26,33
1,25
3,29
8,20
20,29
20,6
20,8
21,24
21,8
21,8
21,28
21,6
26,22
26,31
27,18
28,24
30,9
30,22
31,11
31,15
31,15
31,27
31,8
33,21
33,18
33,22
37,11
4,20
25,22
28,25
3,23
4,38
11,38
12,9
12,14
12,9
12,35
12,9
12,9
12,9
12,9
18,40
20,39
20,19
20,28
21,30
21,30
25,16
26,30
26,29
26,0
26,8
26,9
28,38
30,22
30,6
30,22
30,22
30,22
30,22
33,0
33,21
38,27
2,15
3,13
12,26
13,0
15,8
15,38
25,20
26,4
33,34
33,20
33,10
33,3
35,18
36,13
38,9
38,17
13,22
2,20
9,30
9,12
10,24
10,25
12,22
12,21
19,8
20,38
26,35
26,35
26,30
26,30
26,30
26,9
30,10
30,9
32,38
33,18
33,21
33,18
33,38
33,25
34,4
35,10
37,32
4,9
3,19
4,30
9,1
9,26
9,26
9,26
12,9
12,18
12,2
18,19
26,13
31,26
35,31
3,18
9,26
9,12
12,22
12,25
12,26
12,26
12,9
12,9
12,9
12,9
12,9
12,9
12,9
12,30
12,30
20,7
21,30
26,30
26,30
26,40
30,40
30,40
31,38
33,8
33,36
33,2
33,3
34,20
1,9
3,39
4,21
10,8
12,33
12,9
12,9
15,11
18,4
21,25
21,6
21,6
21,6
25,18
25,18
26,9
26,9
26,9
26,30
26,30
26,30
28,16
30,1
31,20
31,18
31,10
31,0
31,3
33,3
33,12
33,27
33,27
33,27
33,9
33,28
34,31
35,11
39,38
20,26
3,40
8,38
9,22
9,12
9,26
9,26
9,26
12,10
12,26
12,27
12,3
12,30
12,30
20,11
21,25
22,40
22,3
26,40
26,13
26,22
26,22
26,40
26,30
26,30
26,40
26,40
26,30
30,40
31,7
31,6
31,39
33,12
33,7
33,9
33,40
40,9
4,18
10,39
10,16
12,26
21,6
21,8
26,30
26,3
30,31
30,15
30,18
33,1
33,6
33,21
33,21
11,6
12,9
12,20
12,30
30,39
33,31
9,15
3,26
8,1
9,26
9,26
9,4
10,26
10,6
12,9
12,9
12,26
12,40
12,31
13,11
14,23
15,6
15,25
20,24
21,28
21,25
22,40
26,20
26,1
26,15
26,11
26,11
26,28
27,6
27,23
28,0
28,11
30,9
30,11
33,35
33,18
33,18
33,3
33,3
33,20
35,20
35,25
40,38
40,11
4,8
4,14
7,6
9,30
9,30
11,7
11,38
21,18
21,18
26,35
30,15
31,13
31,34
31,0
33,28
2,25
3,11
9,30
9,30
9,26
9,26
12,9
12,9
12,9
12,9
12,26
12,29
20,9
20,39
21,25
22,30
26,30
30,8
30,9
31,27
33,11
33,4
33,4
33,4
34,11
34,27
34,20
35,37
12,18
1,0
3,1
4,23
9,30
9,30
9,30
9,30
11,20
12,30
12,26
12,29
12,9
12,30
13,28
15,20
18,1
19,8
21,18
21,8
21,8
26,22
26,13
26,30
26,9
26,40
28,18
28,18
28,38
30,11
30,9
31,15
31,21
31,18
31,18
31,15
32,7
33,3
