Initiator,Receiver
3,5
6,0
0,3
6,9
9,6
5,3
7,1
0,8
4,3
3,1
2,3
9,7
9,8
7,8
9,1
5,8
8,3
2,1
0,1
6,1
6,5
3,8
7,3
2,4
6,0
4,1
6,5
9,3
9,8
1,6
6,3
5,8
6,2
1,8
6,7
3,4
6,3
3,5
6,2
5,3
4,5
0,7
1,9
4,9
0,6
0,2
0,4
1,9
4,9
4,3
5,3
1,6
4,0
4,6
1,4
2,0
9,5
0,8
5,4
2,5
7,9
9,2
4,3
1,6
0,9
0,9
0,9
8,6
5,6
4,7
5,3
4,8
5,4
1,3
0,4
5,0
0,6
2,6
2,5
2,7
6,4
4,9
2,8
6,4
7,8
0,3
2,5
3,2
4,6
6,4
3,8
2,4
6,5
1,9
0,9
4,5
1,5
0,8
0,8
2,6
2,6
7,3
4,9
4,9
3,2
7,0
7,6
7,6
4,3
3,9
7,9
5,0
2,5
4,8
0,7
4,3
7,8
1,6
4,8
7,9
7,9
8,2
1,0
8,3
6,2
0,3
0,4
9,2
0,7
8,6
8,0
3,9
4,9
8,3
4,6
0,4
1,2
1,6
0,8
7,5
1,0
7,2
1,6
0,4
0,9
0,5
1,7
0,6
7,6
4,8
8,3
7,5
8,1
4,5
4,5
8,9
6,0
3,2
1,6
8,1
7,9
6,5
6,9
4,2
8,3
8,4
5,9
6,9
7,3
0,5
3,9
6,3
0,2
3,9
1,2
8,3
1,5
3,9
1,5
1,5
7,2
1,4
0,5
8,4
8,6
8,3
0,5
5,2
0,6
1,4
1,5
7,5
3,2
0,6
0,4
3,6
0,6
0,4
7,5
7,8
