Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1771316234.730	     7.943	0	0	0	0	$BIN -f Exp/G8_I600_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
8	:	1771316234.741	     7.992	0	0	0	0	$BIN -f Exp/G8_I600_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
14	:	1771316234.755	     8.070	0	0	0	0	$BIN -f Exp/G8_I600_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
6	:	1771316234.736	     8.095	0	0	0	0	$BIN -f Exp/G8_I600_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
17	:	1771316234.761	     8.156	0	0	0	0	$BIN -f Exp/G8_I600_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
16	:	1771316234.759	     8.304	0	0	0	0	$BIN -f Exp/G8_I600_S0//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
18	:	1771316234.763	     8.305	0	0	0	0	$BIN -f Exp/G8_I600_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
9	:	1771316234.744	     8.551	0	0	0	0	$BIN -f Exp/G8_I600_S0//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
11	:	1771316234.748	     8.729	0	0	0	0	$BIN -f Exp/G8_I600_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
10	:	1771316234.746	     8.763	0	0	0	0	$BIN -f Exp/G8_I600_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
7	:	1771316234.739	     8.858	0	0	0	0	$BIN -f Exp/G8_I600_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
1	:	1771316234.723	     9.036	0	0	0	0	$BIN -f Exp/G8_I600_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
3	:	1771316234.728	     9.269	0	0	0	0	$BIN -f Exp/G8_I600_S0//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
15	:	1771316234.757	     9.574	0	0	0	0	$BIN -f Exp/G8_I600_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
20	:	1771316234.768	     9.616	0	0	0	0	$BIN -f Exp/G8_I600_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
13	:	1771316234.753	     9.783	0	0	0	0	$BIN -f Exp/G8_I600_S0//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
12	:	1771316234.750	     9.802	0	0	0	0	$BIN -f Exp/G8_I600_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
2	:	1771316234.725	     9.850	0	0	0	0	$BIN -f Exp/G8_I600_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
19	:	1771316234.765	     9.946	0	0	0	0	$BIN -f Exp/G8_I600_S0//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
5	:	1771316234.733	    10.062	0	0	0	0	$BIN -f Exp/G8_I600_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
21	:	1771316242.679	     8.149	0	0	0	0	$BIN -f Exp/G8_I600_S0//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
22	:	1771316242.736	     8.135	0	0	0	0	$BIN -f Exp/G8_I600_S0//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
30	:	1771316243.513	     7.391	0	0	0	0	$BIN -f Exp/G8_I600_S0//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
