[314.164, 136.788, 24.4118, -220.112, 140.049, -46.3748, -40.9654, -307.95]
[314.324, 136.788, 24.4118, -220.112, 140.049, -46.3748, -41.1253, -307.95]
[314.324, 136.788, 24.4118, -220.112, 140.818, -47.1442, -41.1253, -307.95]
[314.351, 136.788, 24.4118, -220.139, 140.818, -47.1442, -41.1253, -307.95]
[314.351, 136.788, 24.4118, -220.29, 140.97, -47.1442, -41.1253, -307.95]
[314.351, 136.788, 24.4118, -220.441, 141.12, -47.1442, -41.1253, -307.95]
[314.351, 137.574, 24.4118, -220.441, 141.12, -47.9303, -41.1253, -307.95]
[314.351, 137.574, 24.4118, -221.259, 141.12, -47.9303, -40.3073, -307.95]
[314.351, 137.574, 24.4118, -221.259, 141.923, -47.9303, -41.1106, -307.95]
[314.351, 137.574, 24.4118, -222.119, 141.923, -47.0695, -41.1106, -307.95]
[314.351, 137.574, 24.4118, -222.119, 142.676, -47.8219, -41.1106, -307.95]
[314.51, 137.574, 24.4118, -222.119, 142.676, -47.8219, -41.2699, -307.95]
[314.51, 137.727, 24.4118, -222.272, 142.676, -47.8219, -41.2699, -307.95]
[314.537, 137.727, 24.4118, -222.299, 142.676, -47.8219, -41.2699, -307.95]
[315.409, 137.727, 24.4118, -222.299, 141.804, -47.8219, -41.2699, -307.95]
[315.409, 139.123, 23.0155, -222.299, 141.804, -47.8219, -41.2699, -307.95]
[315.566, 139.123, 23.0155, -222.299, 141.804, -47.8219, -41.4274, -307.95]
[315.566, 139.889, 23.0155, -222.299, 141.804, -48.5877, -41.4274, -307.95]
[315.712, 139.889, 23.0155, -222.299, 141.804, -48.7342, -41.4274, -307.95]
[315.739, 139.889, 23.0155, -222.325, 141.804, -48.7342, -41.4274, -307.95]
[316.581, 139.047, 23.0155, -222.325, 141.804, -48.7342, -41.4274, -307.95]
[316.581, 139.047, 23.0155, -222.325, 141.804, -48.3349, -41.4274, -308.35]
[316.581, 140.414, 21.6477, -222.325, 141.804, -48.3349, -41.4274, -308.35]
[316.737, 140.414, 21.6477, -222.325, 141.804, -48.3349, -41.5828, -308.35]
[316.763, 140.414, 21.6477, -222.351, 141.804, -48.3349, -41.5828, -308.35]
[316.763, 141.168, 21.6477, -222.351, 141.804, -49.0889, -41.5828, -308.35]
[317.612, 141.168, 21.6477, -222.351, 140.955, -49.0889, -41.5828, -308.35]
[317.612, 141.168, 21.6477, -222.499, 141.103, -49.0889, -41.5828, -308.35]
[318.45, 140.33, 21.6477, -222.499, 141.103, -49.0889, -41.5828, -308.35]
[318.45, 140.33, 21.6477, -222.499, 141.847, -49.8335, -41.5828, -308.35]
[318.476, 140.33, 21.6477, -222.524, 141.847, -49.8335, -41.5828, -308.35]
[318.476, 140.33, 21.6477, -220.818, 141.847, -49.8335, -41.5828, -310.056]
[318.476, 140.33, 21.6477, -221.696, 141.847, -48.9554, -41.5828, -310.056]
[318.476, 140.33, 22.11, -222.158, 141.847, -48.9554, -41.5828, -310.056]
[318.476, 141.675, 20.7649, -222.158, 141.847, -48.9554, -41.5828, -310.056]
[318.617, 141.675, 20.7649, -222.158, 141.847, -49.0972, -41.5828, -310.056]
[318.617, 141.822, 20.7649, -222.305, 141.847, -49.0972, -41.5828, -310.056]
[318.617, 142.562, 20.7649, -222.305, 141.847, -49.8371, -41.5828, -310.056]
[318.617, 142.562, 21.2284, -222.769, 141.847, -49.8371, -41.5828, -310.056]
[318.77, 142.562, 21.2284, -222.769, 141.847, -49.8371, -41.735, -310.056]
[318.77, 142.562, 21.2284, -222.769, 142.636, -49.8371, -42.5235, -310.056]
[319.61, 142.562, 21.2284, -222.769, 141.795, -49.8371, -42.5235, -310.056]
[319.61, 142.562, 21.2284, -223.632, 141.795, -48.9734, -42.5235, -310.056]
[319.61, 142.562, 21.2284, -223.777, 141.94, -48.9734, -42.5235, -310.056]
[319.886, 142.562, 20.9523, -223.777, 141.94, -48.9734, -42.5235, -310.056]
[319.886, 142.562, 20.9523, -223.921, 142.084, -48.9734, -42.5235, -310.056]
[319.886, 142.562, 20.9523, -224.065, 142.228, -48.9734, -42.5235, -310.056]
[320.718, 141.73, 20.9523, -224.065, 142.228, -48.9734, -42.5235, -310.056]
[320.718, 143.049, 19.6333, -224.065, 142.228, -48.9734, -42.5235, -310.056]
[320.718, 143.049, 19.6333, -224.209, 142.371, -48.9734, -42.5235, -310.056]
[320.866, 143.049, 19.6333, -224.209, 142.371, -48.9734, -42.6712, -310.056]
[320.866, 143.191, 19.6333, -224.351, 142.371, -48.9734, -42.6712, -310.056]
[320.866, 143.191, 19.6333, -225.152, 142.371, -48.9734, -41.8697, -310.056]
[320.866, 143.191, 19.6333, -225.294, 142.513, -48.9734, -41.8697, -310.056]
[320.876, 143.191, 19.6333, -225.294, 142.513, -48.9734, -41.8697, -310.067]
[320.876, 143.191, 20.089, -225.749, 142.513, -48.9734, -41.8697, -310.067]
[320.876, 143.191, 20.089, -226.536, 142.513, -48.9734, -41.0832, -310.067]
