[259.399, 82.4448, -3.50039, -137.86, 108.319, -61.6669, -29.0686, -218.035]
[260.675, 81.1686, -3.50039, -137.86, 108.319, -61.6669, -29.0686, -218.035]
[261.924, 79.9201, -3.50039, -137.86, 108.319, -61.6669, -29.0686, -218.035]
[263.476, 79.9201, -3.50039, -137.86, 106.766, -61.6669, -29.0686, -218.035]
[263.476, 79.9201, -3.50039, -137.86, 108.138, -63.0387, -29.0686, -218.035]
[264.682, 78.7143, -3.50039, -137.86, 108.138, -63.0387, -29.0686, -218.035]
[264.682, 78.7143, -3.50039, -137.86, 109.911, -63.0387, -30.8415, -218.035]
[264.836, 78.7143, -3.50039, -138.014, 109.911, -63.0387, -30.8415, -218.035]
[264.836, 78.7143, -3.50039, -138.014, 111.635, -63.0387, -32.5649, -218.035]
[265.262, 78.7143, -3.50039, -138.014, 111.635, -63.0387, -32.991, -218.035]
[265.262, 78.7143, -3.50039, -138.014, 112.936, -64.3399, -32.991, -218.035]
[265.262, 78.7143, -3.50039, -138.673, 113.595, -64.3399, -32.991, -218.035]
[265.262, 78.7143, -1.69848, -140.475, 113.595, -64.3399, -32.991, -218.035]
[265.262, 78.7143, -1.69848, -137.711, 113.595, -64.3399, -32.991, -220.798]
[265.262, 79.6171, -1.69848, -138.614, 113.595, -64.3399, -32.991, -220.798]
[265.262, 79.6171, -1.69848, -139.266, 114.246, -64.3399, -32.991, -220.798]
[265.262, 80.5002, -1.69848, -140.149, 114.246, -64.3399, -32.991, -220.798]
[265.262, 80.5002, -1.69848, -140.787, 114.885, -64.3399, -32.991, -220.798]
[265.262, 80.5002, -1.69848, -140.787, 116.512, -64.3399, -34.6178, -220.798]
[265.262, 83.1764, -4.3747, -140.787, 116.512, -64.3399, -34.6178, -220.798]
[265.262, 83.1764, -4.3747, -140.787, 118.096, -64.3399, -36.202, -220.798]
[265.262, 83.1764, -4.3747, -140.787, 119.639, -64.3399, -37.7455, -220.798]
[265.262, 84.808, -4.3747, -140.787, 119.639, -65.9716, -37.7455, -220.798]
[265.262, 84.808, -4.3747, -143.092, 119.639, -65.9716, -35.4404, -220.798]
[265.262, 84.808, -4.3747, -143.092, 121.173, -65.9716, -36.9739, -220.798]
[266.5, 83.5696, -4.3747, -143.092, 121.173, -65.9716, -36.9739, -220.798]
[266.5, 83.5696, -4.3747, -143.092, 122.668, -65.9716, -38.4691, -220.798]
[266.644, 83.5696, -4.3747, -143.236, 122.668, -65.9716, -38.4691, -220.798]
[266.644, 83.5696, -4.3747, -146.005, 122.668, -63.2027, -38.4691, -220.798]
[266.644, 83.5696, -2.66346, -147.716, 122.668, -63.2027, -38.4691, -220.798]
[266.956, 83.5696, -2.66346, -147.716, 122.668, -63.515, -38.4691, -220.798]
[266.956, 83.5696, -2.66346, -148.266, 123.218, -63.515, -38.4691, -220.798]
[266.956, 83.5696, -2.66346, -150.458, 123.218, -63.515, -36.2768, -220.798]
[267.089, 83.5696, -2.66346, -150.591, 123.218, -63.515, -36.2768, -220.798]
[267.089, 83.5696, -2.66346, -151.123, 123.75, -63.515, -36.2768, -220.798]
[267.642, 83.5696, -3.21669, -151.123, 123.75, -63.515, -36.2768, -220.798]
[267.642, 83.5696, -3.21669, -151.651, 124.278, -63.515, -36.2768, -220.798]
[267.642, 85.2069, -3.21669, -151.651, 124.278, -65.1523, -36.2768, -220.798]
[267.642, 85.2069, -3.21669, -148.726, 124.278, -65.1523, -36.2768, -223.723]
